Aou,Seq,EnglishAbbrev,FrenchName,SpanishName,Code,EnglishFull,EnglishNoSpaces,Genus,Species,SpFamilyID,date_creat,ed,who_created,date_updat,ed,who_updated,Comm,ents
00240,2084,Kittlitz's Murrelet,Guillemot de Kittlitz,Brachyramphus brevirostris,KIMU,Kittlitz's Murrelet,KittlitzsMurrelet,Brachyramphus,brevirostris,7,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00250,2088,Xantus's Murrelet,Guillemot de Xantus,Synthliboramphus hypoleucus,XAMU,Xantus's Murrelet,XantussMurrelet,Synthliboramphus,hypoleucus,7,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00260,2092,Craveri's Murrelet,NULL,Synthliboramphus craveri,CRMU,Craveri's Murrelet,CraverisMurrelet,Synthliboramphus,craveri,7,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00270,2072,Black Guillemot,Guillemot à miroir,Cepphus grylle,BLGU,Black Guillemot,BlackGuillemot,Cepphus,grylle,7,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00290,2076,Pigeon Guillemot,Guillemot colombin,Cepphus columba,PIGU,Pigeon Guillemot,PigeonGuillemot,Cepphus,columba,7,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00300,2056,Common Murre,Guillemot marmette,Uria aalge,COMU,Common Murre,CommonMurre,Uria,aalge,7,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00310,2060,Thick-billed Murre,Guillemot de Brünnich,Uria lomvia,TBMU,Thick-billed Murre,ThickbilledMurre,Uria,lomvia,7,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00315,2064,unid Murre,Guillemot marmette\de Brünnich,Uria sp,UNMU,unid. Murre,unidMurre,Uria,sp,7,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00320,2068,Razorbill,Petit Pingouin,Alca torda,RAZO,Razorbill,Razorbill,Alca,torda,7,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00340,2052,Dovekie,Mergule nain,Alle alle,DOVE,Dovekie,Dovekie,Alle,alle,7,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
