Aou,Seq,EnglishAbbrev,FrenchName,SpanishName,Code,EnglishFull,EnglishNoSpaces,Genus,Species,SpFamilyID,date_creat,ed,who_created,date_updat,ed,who_updated,Comm,ents
03095,412,Common Peafowl,NULL,Pavo cristatus,CPEA,Common Peafowl,CommonPeafowl,Pavo,cristatus,30,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03100,460,Wild Turkey,Dindon sauvage,Meleagris gallopavo,WITU,Wild Turkey,WildTurkey,Meleagris,gallopavo,30,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03110,336,Plain Chachalaca,NULL,Ortalis vetula,PLCH,Plain Chachalaca,PlainChachalaca,Ortalis,vetula,28,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03111,2136,Chest-bel Sandgrouse,NULL,Pterocles exustus,CBSA,Chestnut-bellied Sandgrouse,ChestnutbelliedSandgrouse,Pterocles,exustus,14,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03120,2168,Band-tailed Pigeon,Pigeon à queue barrée,Patagioenas fasciata,BTPI,Band-tailed Pigeon,BandtailedPigeon,Patagioenas,fasciata,21,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03130,2160,Red-billed Pigeon,NULL,Patagioenas flavirostris,RBPI,Red-billed Pigeon,RedbilledPigeon,Patagioenas,flavirostris,21,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03131,2140,Rock Pigeon,Pigeon biset,Columba livia,ROPI,Rock Pigeon,RockPigeon,Columba,livia,21,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03140,2156,Wh-crowned Pigeon,NULL,Patagioenas leucocephala,WCPI,White-crowned Pigeon,WhitecrownedPigeon,Patagioenas,leucocephala,21,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03141,2152,Scaly-naped Pigeon,NULL,Patagioenas squamosa,SNPI,Scaly-naped Pigeon,ScalynapedPigeon,Patagioenas,squamosa,21,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03151,2188,Spotted Dove,NULL,Streptopelia chinensis,SPDO,Spotted Dove,SpottedDove,Streptopelia,chinensis,21,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03152,2180,Ringed Turtle Dove,NULL,Streptopelia risoria,RITD,Ringed Turtle-Dove,RingedTurtleDove,Streptopelia,risoria,21,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03153,2192,Zebra Dove,NULL,Geopelia striata,ZEBD,Zebra Dove,ZebraDove,Geopelia,striata,21,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03160,2204,Mourning Dove,Tourterelle triste,Zenaida macroura,MODO,Mourning Dove,MourningDove,Zenaida,macroura,21,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03170,2200,Zenaida Dove,NULL,Zenaida aurita,ZEND,Zenaida Dove,ZenaidaDove,Zenaida,aurita,21,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03180,2268,White-tipped Dove,NULL,Leptotila verreauxi,WTDO,White-tipped Dove,WhitetippedDove,Leptotila,verreauxi,21,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03190,2196,White-winged Dove,Tourterelle à ailes blanches,Zenaida asiatica,WWDO,White-winged Dove,WhitewingedDove,Zenaida,asiatica,21,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03200,2220,Common Ground-Dove,Colombe à queue noire,Columbina passerina,COGD,Common Ground-Dove,CommonGroundDove,Columbina,passerina,21,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03201,2228,Ruddy Ground-Dove,NULL,Columbina talpacoti,RUGD,Ruddy Ground-Dove,RuddyGroundDove,Columbina,talpacoti,21,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03210,2216,Inca Dove,Colombe inca,Columbina inca,INDO,Inca Dove,IncaDove,Columbina,inca,21,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03220,2272,Key West Quail-Dove,NULL,Geotrygon chrysia,KWQD,Key West Quail-Dove,KeyWestQuailDove,Geotrygon,chrysia,21,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03221,2292,Ruddy Quail-Dove,NULL,Geotrygon montana,RUQD,Ruddy Quail-Dove,RuddyQuailDove,Geotrygon,montana,21,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03240,1108,California Condor,NULL,Gymnogyps californianus,CACO,California Condor,CaliforniaCondor,Gymnogyps,californianus,18,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03250,1100,Turkey Vulture,Urubu à tête rouge,Cathartes aura,TUVU,Turkey Vulture,TurkeyVulture,Cathartes,aura,18,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03255,1102,unid Blck/Trky Vulture,urubu sp.,Cathartid sp,UBTV,unid. Vulture,unid.Vulture,Cathartid,sp,18,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03260,1092,Black Vulture,Urubu noir,Coragyps atratus,BLVU,Black Vulture,BlackVulture,Coragyps,atratus,18,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03261,1112,King Vulture,NULL,Sarcoramphus papa,KIVU,King Vulture,KingVulture,Sarcoramphus,papa,18,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03270,1132,Swallow-tailed Kite,Milan à queue fourchue,Elanoides forficatus,STKI,Swallow-tailed Kite,SwallowtailedKite,Elanoides,forficatus,26,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03271,1128,Hook-billed Kite,NULL,Chondrohierax uncinatus,HBKI,Hook-billed Kite,HookbilledKite,Chondrohierax,uncinatus,26,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03280,1136,White-tailed Kite,Élanion à queue blanche,Elanus leucurus,WTKI,White-tailed Kite,WhitetailedKite,Elanus,leucurus,26,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03290,1152,Mississippi Kite,Milan du Mississippi,Ictinia mississippiensis,MIKI,Mississippi Kite,MississippiKite,Ictinia,mississippiensis,26,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03300,1144,Snail Kite,NULL,Rostrhamus sociabilis,SNKI,Snail Kite,SnailKite,Rostrhamus,sociabilis,26,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03310,1176,Northern Harrier,Busard Saint-Martin,Circus cyaneus,NOHA,Northern Harrier,NorthernHarrier,Circus,cyaneus,26,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03320,1180,Sharp-shinned Hawk,Épervier brun,Accipiter striatus,SSHA,Sharp-shinned Hawk,SharpshinnedHawk,Accipiter,striatus,26,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03330,1184,Cooper's Hawk,Épervier de Cooper,Accipiter cooperii,COHA,Cooper's Hawk,CoopersHawk,Accipiter,cooperii,26,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03333,1200,unid Accipiter Hawk,épervier sp.,Accipiter sp,UAHA,unid. Accipiter Hawk,unid.AccipiterHawk,Accipiter,sp,26,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03340,1192,Northern Goshawk,Autour des palombes,Accipiter gentilis,NOGO,Northern Goshawk,NorthernGoshawk,Accipiter,gentilis,26,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03350,1224,Harris's Hawk,NULL,Parabuteo unicinctus,HASH,Harris's Hawk,HarrissHawk,Parabuteo,unicinctus,26,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03370,1264,Red-tailed Hawk,Buse à queue rousse,Buteo jamaicensis,RTHA,Red-tailed Hawk,RedtailedHawk,Buteo,jamaicensis,26,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03380,1268,Harlan's Hawk,Buse à queue rousse (groupe harlani),Buteo j. harlani grp.,HALH,Red-tailed Hawk (Harlan's Hawk),RedtailedHawkHarlans,Buteo,j. harlani grp.,26,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03390,1236,Red-shouldered Hawk,Buse à épaulettes,Buteo lineatus,RSHA,Red-shouldered Hawk,RedshoulderedHawk,Buteo,lineatus,26,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03400,1256,Zone-tailed Hawk,Buse à queue barrée,Buteo albonotatus,ZTHA,Zone-tailed Hawk,ZonetailedHawk,Buteo,albonotatus,26,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03410,1252,White-tailed Hawk,NULL,Buteo albicaudatus,WTHA,White-tailed Hawk,WhitetailedHawk,Buteo,albicaudatus,26,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03420,1248,Swainson's Hawk,Buse de Swainson,Buteo swainsoni,SWHA,Swainson's Hawk,SwainsonsHawk,Buteo,swainsoni,26,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03430,1240,Broad-winged Hawk,Petite Buse,Buteo platypterus,BWHA,Broad-winged Hawk,BroadwingedHawk,Buteo,platypterus,26,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03431,1232,Roadside Hawk,NULL,Buteo magnirostris,ROHA,Roadside Hawk,RoadsideHawk,Buteo,magnirostris,26,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03440,1244,Short-tailed Hawk,NULL,Buteo brachyurus,STHA,Short-tailed Hawk,ShorttailedHawk,Buteo,brachyurus,26,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03441,1260,Hawaiian Hawk,NULL,Buteo solitarius,HAWH,Hawaiian Hawk,HawaiianHawk,Buteo,solitarius,26,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03450,1212,Common Black-Hawk,NULL,Buteogallus anthracinus,COBH,Common Black-Hawk,CommonBlackHawk,Buteogallus,anthracinus,26,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03451,1280,unid Buteo,Buse sp.,Buteo sp,UNBU,unid. Buteo Hawk,unid.Buteo,Buteo,sp,26,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03460,1204,Gray Hawk,NULL,Buteo nitidus,GRHA,Gray Hawk,GrayHawk,Buteo,nitidus,26,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03470,1276,Rough-legged Hawk,Buse pattue,Buteo lagopus,RLHA,Rough-legged Hawk,RoughleggedHawk,Buteo,lagopus,26,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03480,1272,Ferruginous Hawk,Buse rouilleuse,Buteo regalis,FEHA,Ferruginous Hawk,FerruginousHawk,Buteo,regalis,26,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03490,1288,Golden Eagle,Aigle royal,Aquila chrysaetos,GOEA,Golden Eagle,GoldenEagle,Aquila,chrysaetos,26,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03500,1284,Harpy Eagle,NULL,Harpia harpyja,HAEA,Harpy Eagle,HarpyEagle,Harpia,harpyja,26,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03510,1164,White-tailed Eagle,NULL,Haliaeetus albicilla,WTEA,White-tailed Eagle,WhitetailedEagle,Haliaeetus,albicilla,26,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03520,1160,Bald Eagle,Pygargue à tête blanche,Haliaeetus leucocephalus,BAEA,Bald Eagle,BaldEagle,Haliaeetus,leucocephalus,26,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03521,1168,Steller's Sea Eagle,NULL,Haliaeetus pelagicus,STSE,Steller's Sea Eagle,StellersSeaEagle,Haliaeetus,pelagicus,26,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03540,1356,Gyrfalcon,Faucon gerfaut,Falco rusticolus,GYRF,Gyrfalcon,Gyrfalcon,Falco,rusticolus,27,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03550,1364,Prairie Falcon,Faucon des prairies,Falco mexicanus,PRFA,Prairie Falcon,PrairieFalcon,Falco,mexicanus,27,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03560,1360,Peregrine Falcon,Faucon pèlerin,Falco peregrinus,PEFA,Peregrine Falcon,PeregrineFalcon,Falco,peregrinus,27,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03561,1352,Northern Hobby,NULL,Falco subbuteo,NOHO,Northern Hobby,NorthernHobby,Falco,subbuteo,27,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03570,1336,Merlin,Faucon émerillon,Falco columbarius,MERL,Merlin,Merlin,Falco,columbarius,27,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03590,1340,Aplomado Falcon,NULL,Falco femoralis,APFA,Aplomado Falcon,AplomadoFalcon,Falco,femoralis,27,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03591,1328,Eurasian Kestrel,Faucon crécerelle,Falco tinnunculus,EUKE,Eurasian Kestrel,EurasianKestrel,Falco,tinnunculus,27,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03600,1332,American Kestrel,Crécerelle d'Amérique,Falco sparverius,AMKE,American Kestrel,AmericanKestrel,Falco,sparverius,27,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03620,1316,Crested Caracara,Caracara du Nord,Caracara cheriway,CRCA,Crested Caracara,CrestedCaracara,Caracara,cheriway,27,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03640,1120,Osprey,Balbuzard pêcheur,Pandion haliaetus,OSPR,Osprey,Osprey,Pandion,haliaetus,26,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03650,2592,Barn Owl,Effraie des clochers,Tyto alba,BANO,Barn Owl,BarnOwl,Tyto,alba,102,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03660,2716,Long-eared Owl,Hibou moyen-duc,Asio otus,LEOW,Long-eared Owl,LongearedOwl,Asio,otus,101,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03670,2724,Short-eared Owl,Hibou des marais,Asio flammeus,SEOW,Short-eared Owl,ShortearedOwl,Asio,flammeus,101,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03671,2692,Mottled Owl,NULL,Ciccaba virgata,MOOW,Mottled Owl,MottledOwl,Ciccaba,virgata,101,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03680,2704,Barred Owl,Chouette rayée,Strix varia,BADO,Barred Owl,BarredOwl,Strix,varia,101,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03690,2700,Spotted Owl,Chouette tachetée,Strix occidentalis,SPOW,Spotted Owl,SpottedOwl,Strix,occidentalis,101,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03700,2712,Great Gray Owl,Chouette lapone,Strix nebulosa,GGOW,Great Gray Owl,GreatGrayOwl,Strix,nebulosa,101,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03710,2732,Boreal Owl,Nyctale de Tengmalm,Aegolius funereus,BOOW,Boreal Owl,BorealOwl,Aegolius,funereus,101,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03720,2736,N Saw-whet Owl,Petite Nyctale,Aegolius acadicus,NSWO,Northern Saw-whet Owl,NorthernSawwhetOwl,Aegolius,acadicus,101,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03730,2608,Eastern Screech-Owl,Petit-duc maculé,Megascops asio,EASO,Eastern Screech-Owl,EasternScreechOwl,Megascops,asio,101,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03731,2624,Whisker Screech-Owl,NULL,Megascops trichopsis,WHSO,Whiskered Screech-Owl,WhiskeredScreechOwl,Megascops,trichopsis,101,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03732,2604,Western Screech-Owl,Petit-duc des montagnes,Megascops kennicottii,WESO,Western Screech-Owl,WesternScreechOwl,Megascops,kennicottii,101,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03737,2612,unid Screech-Owl,petit-duc sp.,Megascops sp,UNSO,unid. Screech-Owl,unid.ScreechOwl,Megascops,sp,101,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03740,2596,Flammulated Owl,Petit-duc nain,Otus flammeolus,FLOW,Flammulated Owl,FlammulatedOwl,Otus,flammeolus,101,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03741,2600,Oriental Scops-Owl,NULL,Otus sunia,ORSO,Oriental Scops-Owl,OrientalScopsOwl,Otus,sunia,101,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03750,2652,Great Horned Owl,Grand-duc d'Amérique,Bubo virginianus,GHOW,Great Horned Owl,GreatHornedOwl,Bubo,virginianus,101,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03760,2656,Snowy Owl,Harfang des neiges,Bubo scandiacus,SNOW,Snowy Owl,SnowyOwl,Bubo,scandiacus,101,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03770,2660,Northern Hawk Owl,Chouette épervière,Surnia ulula,NHOW,Northern Hawk Owl,NorthernHawkOwl,Surnia,ulula,101,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03780,2688,Burrowing Owl,Chevêche des terriers,Athene cunicularia,BUOW,Burrowing Owl,BurrowingOwl,Athene,cunicularia,101,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03790,2664,Northern Pygmy-Owl,Chevêchette naine,Glaucidium gnoma,NOPO,Northern Pygmy-Owl,NorthernPygmyOwl,Glaucidium,gnoma,101,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03800,2680,Ferrugin Pygmy-Owl,NULL,Glaucidium brasilianum,FEPO,Ferruginous Pygmy-Owl,FerruginousPygmyOwl,Glaucidium,brasilianum,101,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03810,2684,Elf Owl,NULL,Micrathene whitneyi,ELOW,Elf Owl,ElfOwl,Micrathene,whitneyi,101,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03821,2428,Thick-billed Parrot,NULL,Rhynchopsitta pachyrhyncha,TBPA,Thick-billed Parrot,ThickbilledParrot,Rhynchopsitta,pachyrhyncha,100,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03822,2320,Budgerigar,NULL,Melopsittacus undulatus,BUDG,Budgerigar,Budgerigar,Melopsittacus,undulatus,100,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03823,2344,Rose-ringed Parakeet,NULL,Psittacula krameri,RRPA,Rose-ringed Parakeet,RoseringedParakeet,Psittacula,krameri,100,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03824,2352,Monk Parakeet,NULL,Myiopsitta monachus,MOPA,Monk Parakeet,MonkParakeet,Myiopsitta,monachus,100,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03825,2444,Canary-wing Parakeet,NULL,Brotogeris versicolurus,CWPA,White-winged Parakeet,WhitewingedParakeet,Brotogeris,versicolurus,100,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03826,2480,Red-crowned Parrot,NULL,Amazona viridigenalis,RCPA,Red-crowned Parrot,RedcrownedParrot,Amazona,viridigenalis,100,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03827,2452,unid Brotogeris parake,NULL,Brotogeris sp,UNBR,unid. Brotogeris parakeet,unid.Brotogerisparakeet,Brotogeris,sp,100,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03830,2584,Smooth-billed Ani,NULL,Crotophaga ani,SBAN,Smooth-billed Ani,SmoothbilledAni,Crotophaga,ani,25,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03840,2588,Groove-billed Ani,Ani à bec cannelé,Crotophaga sulcirostris,GBAN,Groove-billed Ani,GroovebilledAni,Crotophaga,sulcirostris,25,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03850,2576,Greater Roadrunner,NULL,Geococcyx californianus,GRRO,Greater Roadrunner,GreaterRoadrunner,Geococcyx,californianus,25,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03860,2552,Mangrove Cuckoo,NULL,Coccyzus minor,MACU,Mangrove Cuckoo,MangroveCuckoo,Coccyzus,minor,25,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03870,2548,Yellow-billed Cuckoo,Coulicou à bec jaune,Coccyzus americanus,YBCU,Yellow-billed Cuckoo,YellowbilledCuckoo,Coccyzus,americanus,25,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03875,2544,unid Cuckoo,coulicou sp.,Coccyzus sp,UNCU,unid. Cuckoo,unid.Cuckoo,Coccyzus,sp,25,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03880,2540,Black-billed Cuckoo,Coulicou à bec noir,Coccyzus erythropthalmus,BBCU,Black-billed Cuckoo,BlackbilledCuckoo,Coccyzus,erythropthalmus,25,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03881,2528,Oriental Cuckoo,NULL,Cuculus optatus,ORCU,Oriental Cuckoo,OrientalCuckoo,Cuculus,optatus,25,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03882,2524,Common Cuckoo,NULL,Cuculus canorus,COCU,Common Cuckoo,CommonCuckoo,Cuculus,canorus,25,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03890,3172,Elegant Trogon,NULL,Trogon elegans,ELTR,Elegant Trogon,ElegantTrogon,Trogon,elegans,104,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03891,3180,Eared Quetzal,NULL,Euptilotis neoxenus,EAQU,Eared Quetzal,EaredQuetzal,Euptilotis,neoxenus,104,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03900,3232,Belted Kingfisher,Martin-pêcheur d'Amérique,Megaceryle alcyon,BEKI,Belted Kingfisher,BeltedKingfisher,Megaceryle,alcyon,22,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03901,3228,Ringed Kingfisher,NULL,Megaceryle torquata,RIKI,Ringed Kingfisher,RingedKingfisher,Megaceryle,torquata,22,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03910,3240,Green Kingfisher,NULL,Chloroceryle americana,GKIN,Green Kingfisher,GreenKingfisher,Chloroceryle,americana,22,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03911,3188,Eurasian Hoopoe,NULL,Upupa epops,EHOO,Eurasian Hoopoe,EurasianHoopoe,Upupa,epops,105,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03920,3368,unid. Woodpecker,Pic sp.,Picidae sp,UNWO,unid. Woodpecker,unid.Woodpecker,Picidae,sp,94,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03930,3356,Hairy Woodpecker,Pic chevelu,Picoides villosus,HAWO,Hairy Woodpecker,HairyWoodpecker,Picoides,villosus,94,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03940,3352,Downy Woodpecker,Pic mineur,Picoides pubescens,DOWO,Downy Woodpecker,DownyWoodpecker,Picoides,pubescens,94,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03950,3372,Red-cock Woodpker,NULL,Picoides borealis,RCWO,Red-cockaded Woodpecker,RedcockadedWoodpecker,Picoides,borealis,94,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03960,3344,Ladder-back Woodpkr,NULL,Picoides scalaris,LBWO,Ladder-backed Woodpecker,LadderbackedWoodpecker,Picoides,scalaris,94,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03970,3348,Nuttall's Woodpecker,NULL,Picoides nuttallii,NUWO,Nuttall's Woodpecker,NuttallsWoodpecker,Picoides,nuttallii,94,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03975,3360,Arizona Woodpecker,NULL,Picoides arizonae,ARWO,Arizona Woodpecker,ArizonaWoodpecker,Picoides,arizonae,94,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03980,3364,Strickland Woodpker,NULL,Picoides stricklandi,STCW,Strickland's Woodpecker,StricklandsWoodpecker,Picoides,stricklandi,94,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
03990,3376,Wh-head Woodpecker,Pic à tête blanche,Picoides albolarvatus,WHWO,White-headed Woodpecker,WhiteheadedWoodpecker,Picoides,albolarvatus,94,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
04000,3384,Blk-back Woodpecker,Pic à dos noir,Picoides arcticus,BBWO,Black-backed Woodpecker,BlackbackedWoodpecker,Picoides,arcticus,94,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
04010,3380,3-toed Woodpecker,Pic à dos rayé,Picoides dorsalis,ATTW,American Three-toed Woodpecker,AmericanThreetoedWoodpecker,Picoides,dorsalis,94,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
04020,3320,Yel-bell Sapsucker,Pic maculé,Sphyrapicus varius,YBSA,Yellow-bellied Sapsucker,YellowbelliedSapsucker,Sphyrapicus,varius,94,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
04021,3324,Red-naped Sapsucker,Pic à nuque rouge,Sphyrapicus nuchalis,RNSA,Red-naped Sapsucker,RednapedSapsucker,Sphyrapicus,nuchalis,94,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
04022,3336,unid Sapsucker,Sphyrapicus sp.,Sphyrapicus sp,UNSA,unid. Sapsucker,unid.Sapsucker,Sphyrapicus,sp,94,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
04030,3328,Red-breast Sapsucker,Pic à poitrine rouge,Sphyrapicus ruber,RBSA,Red-breasted Sapsucker,RedbreastedSapsucker,Sphyrapicus,ruber,94,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
04031,3332,hyb. Sapsckr (RN x RBr),Sphyrapicus hybr  (à poitrine rouge\à nuque rouge),Sphyrapicus nuchalis x ruber,SAPR,hybrid Red-naped x Red-breasted Sapsucker,hybridRednapedxRedbreastedSapsucker,Sphyrapicus,nuchalis x ruber,94,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
